Year,Month,Day,MaxTemp (F),MinTemp (F)
2017,11,10,86,67
2017,11,11,84,73
2017,11,12,85,73
2017,11,13,84,72
2017,11,14,85,71
2017,11,15,78,69
2017,11,16,80,67
2017,11,17,81,62
2017,11,18,82,59
2017,11,19,82,60
2017,11,20,80,64
2017,11,21,83,64
2017,11,22,84,63
2017,11,23,84,65
2017,11,24,81,62
2017,11,25,77,60
2017,11,26,81,60
2017,11,27,79,63
2017,11,28,83,69
2017,11,29,83,67
2017,11,30,83,69
2017,12,1,83,64
2017,12,2,82,63
2017,12,3,81,64
2017,12,4,81,63
2017,12,5,82,65
2017,12,6,83,64
2017,12,7,85,66
2017,12,8,85,69
2017,12,9,78,57
2017,12,10,61,48
2017,12,11,66,46
2017,12,12,72,41
2017,12,13,66,44
2017,12,14,71,39
2017,12,15,79,48
2017,12,16,80,51
2017,12,17,82,59
2017,12,18,82,62
2017,12,19,83,59
2017,12,20,81,57
2017,12,21,83,59
2017,12,22,84,61
2017,12,23,81,61
2017,12,24,81,56
2017,12,25,83,56
2017,12,26,83,64
2017,12,27,82,61
2017,12,28,80,62
2017,12,29,77,61
2017,12,30,68,52
2017,12,31,74,49
2018,1,1,79,54
2018,1,2,70,54
2018,1,3,67,50
2018,1,4,59,41
2018,1,5,61,40
2018,1,6,69,48
2018,1,7,73,47
2018,1,8,77,56
2018,1,9,78,61
2018,1,10,77,62
2018,1,11,81,65
2018,1,12,83,70
2018,1,13,76,57
2018,1,14,72,50
2018,1,15,74,53
2018,1,16,76,57
2018,1,17,74,54
2018,1,18,62,43
2018,1,19,71,47
2018,1,20,75,54
2018,1,21,79,62
2018,1,22,80,67
2018,1,23,83,69
2018,1,24,80,67
2018,1,25,73,61
2018,1,26,77,69
2018,1,27,79,69
2018,1,28,80,71
2018,1,29,83,66
2018,1,30,70,54
2018,1,31,73,46
2018,2,1,79,55
2018,2,2,82,60
2018,2,3,74,59
2018,2,4,80,67
2018,2,5,85,65
2018,2,6,78,64
2018,2,7,82,68
2018,2,8,84,67
2018,2,9,82,67
2018,2,10,83,72
2018,2,11,84,73
2018,2,12,84,72
2018,2,13,84,68
2018,2,14,83,66
2018,2,15,82,60
2018,2,16,84,57
2018,2,17,83,60
2018,2,18,83,62
2018,2,19,82,70
2018,2,20,82,73
2018,2,21,84,73
