DHI (w/m2),DNI (w/m2),Wind Speed (m/s),Relative Humidity (%),Pressure (mbar)
125,224,2.1,73.56,1010
134,176,1.4,72.81,1010
84,133,2.2,79.07,1010
128,220,3,78.57,1010
111,173,3.3,78.46,1010
75,285,3.5,80.81,1010
92,304,4.1,82.27,1010
130,83,5.1,85.01,1010
152,58,6.8,86.86,1010
140,115,7.3,86.97,1010
133,80,5.8,92.82,1010
149,80,2.9,89.51,1010
86,121,1.9,89.68,1010
85,241,1.1,86.14,1010
99,261,2.7,82.69,1010
110,277,1.8,79.5,1010
79,339,2.7,79.84,1010
112,238,3.3,77.79,1010
84,272,4.8,80.19,1010
118,162,4.1,84,1010
96,233,2.1,79.64,1010
126,164,4.2,86.08,1010
79,317,6.6,79.7,1010
76,72,5.1,87.14,1010
55,380,2.4,81.95,1010
81,297,2.5,80.09,1010
99,290,3.2,79.06,1010
67,356,3.6,79.02,1010
112,211,2.6,78.88,1010
100,265,2.2,75.1,1010
129,239,1.6,75.65,1010
80,327,2.2,77.1,1010
105,203,2.6,80.26,1010
118,187,2.3,81.84,1010
137,121,2.7,81.96,1010
140,114,3.1,81.15,1013
88,293,3.2,83.12,1016
72,342,2.8,78.33,1015
60,371,3.4,76.56,1013
60,376,2.8,76.03,1010
134,196,2.2,75.06,1010
62,351,2.2,74.44,1010
70,357,3.5,74.59,1010
93,315,3.6,76.14,1010
95,258,2.9,79.84,1010
130,150,2.8,79.66,1011
91,316,3.7,76.79,1010
128,207,3.8,76.29,1010
83,308,4.2,79.85,1010
103,269,5.2,80.94,1013
83,286,6.2,80.96,1013
94,278,5.4,79.87,1010
87,297,4.9,83.45,1010
133,68,3.2,86,1010
72,123,1.8,83.41,1010
92,198,1.6,78.75,1010
127,100,1.8,82.24,1010
66,354,2.7,79,1010
93,284,3.9,78.82,1010
70,339,4.5,80.24,1010
94,229,3.7,78.84,1010
111,238,1,76.21,1010
101,269,1.8,76.15,1010
96,253,3.2,79.32,1010
107,240,4.9,79.83,1010
111,127,4.3,88.83,1010
136,184,3.5,86.7,1010
85,302,3.2,77.54,1010
82,310,3.4,77.21,1010
135,114,3.5,81.23,1010
83,172,3.3,83.07,1010
74,6,2.2,86.13,1010
132,57,2.1,83.8,1010
95,264,1.7,78.8,1010
140,139,2.6,85.42,1010
69,318,3.7,82.12,1010
83,316,4.8,80.3,1010
128,191,5,84.78,1010
98,279,5,81.34,1010
109,236,4.7,82.82,1010
125,171,3.2,85.64,1011
76,302,3,83.53,1010
123,142,1.5,77.97,1010
51,362,1.6,76.77,1010
76,294,1.1,75.03,1010
53,353,1.3,72.73,1010
65,328,4.1,79.21,1011
115,75,4.8,84.88,1010
132,149,4.6,87.14,1010
85,278,3.7,87.23,1010
133,122,5.3,88.05,1010
98,249,6.9,85.73,1010
122,103,5.5,89.94,1010
90,8,5.6,89.94,1010
128,44,5.2,90.28,1010
135,159,5.3,91.87,1010
122,162,4.5,86.83,1010
62,314,2.2,84.48,1010
52,348,2.2,81.85,1010
100,137,1.8,84.27,1010
87,144,2.6,88.76,1010
89,204,3.5,84.32,1011
118,150,4.5,87.33,1010
85,238,5.3,84.22,1010
114,216,4.4,82.03,1010
125,182,3.8,86.97,1010
103,173,2.5,83.71,1010
112,202,4.2,88.19,1010
108,226,2.1,81.85,1010
97,233,1.5,77.68,1010
67,309,1.1,77.23,1010
89,231,1.4,76.77,1010
58,302,2,77.97,1010
77,231,1.1,72.38,1010
97,63,1.7,78.85,1010
69,294,1.4,78.18,1010
86,72,1.3,80.88,1010
93,171,1.1,76.08,1010
77,169,1.6,80.13,1010
82,218,2.5,85.64,1010
100,102,1.9,83.43,1010
61,46,2.3,84.04,1010
58,279,2.2,79.34,1010
92,178,1.5,73.97,1010
88,161,2.2,82.04,1010
88,205,4,85.58,1010
93,214,3.9,85.32,1010
56,311,3.4,86.71,1008
61,274,3.1,88.51,1001
85,189,5.1,88.97,1001
99,31,10.4,94.71,996
110,131,7.1,89.9,1000
83,215,3.3,87.36,1006
72,246,6.1,83.1,1010
101,141,7,73.1,1010
84,182,7,74.17,1010
98,108,5.6,84.54,1010
98,138,6.7,83.54,1010
92,150,6.1,81.48,1010
65,112,5.6,85.49,1010
94,141,4.9,90.09,1010
49,303,6.5,83.26,1010
64,209,5.8,82.26,1010
39,342,6.1,76.53,1010
72,118,4.3,82.8,1010
35,350,4.1,75.55,1005
37,352,5,71.23,1010
39,343,6,72.21,1014
87,195,5.1,70.98,1014
85,189,5.7,72.27,1011
86,151,7.2,77.01,1011
59,4,7.5,84.17,1010
92,24,7.2,84.28,1010
94,29,7.1,91.63,1010
93,45,6.4,92.25,1010
77,46,6.8,87.33,1010
68,242,6.7,75.95,1010
67,230,6.2,77.24,1012
79,115,4.2,80.55,1011
71,169,3.5,79.67,1010
66,174,5.1,82.54,1010
85,160,6.2,78.61,1010
80,133,6.9,77.61,1011
62,145,5,70.61,1011
59,230,2.3,68.11,1010
44,207,2,75.54,1010
49,285,2,71.49,1010
37,308,1.8,73.31,1010
39,299,2.7,74.3,1010
90,60,1.1,74.01,1010
69,47,2.5,82.19,1010
40,305,5.8,78.51,1010
56,246,5.6,72.71,1010
58,236,5,72.49,1012
54,215,4.1,76.76,1012
36,318,5.1,81.15,1010
32,336,3.6,67.42,1010
50,271,3.9,75.11,1014
31,325,3.8,78.42,1015
33,310,4.5,81.82,1018
57,229,3.9,76.93,1018
54,220,3.7,79.1,1011
53,226,5.4,79.29,1010
54,193,6,84.15,1010
72,180,5.5,84.75,1010
48,247,5.2,87.36,1010
81,100,2.7,95.14,1010
70,114,4.4,92.61,1010
44,263,5.9,81.69,1010
54,230,5.2,85.73,1010
71,152,5.5,88.04,1010
46,249,5,89.85,1010
47,234,1.5,93.28,1010
53,75,3.3,90.67,1010
66,121,7.5,90.34,1018
44,1,7,90.45,1020
69,59,6.6,89.47,1018
67,162,2.4,89.62,1011
52,233,1.8,89.09,1010
35,289,2.2,88.27,1010
53,209,4,89.01,1011
44,266,5.3,78.93,1017
53,192,5.3,86.9,1016
44,253,5,90.67,1018
48,229,4.6,90.29,1020
63,168,4,85.51,1020
48,230,4.5,93.03,1017
36,209,3.5,87.82,1015
66,144,5.5,84.34,1020
40,271,5.2,82.94,1020
35,288,6.5,81.79,1020
53,220,6.8,82.99,1020
38,282,4.3,81.89,1020
44,275,2.6,80.35,1016
29,317,2.1,78.67,1011
37,298,7.2,74.04,1018
34,303,4.8,77.45,1020
51,234,3.9,85.5,1020
48,161,4.5,91.13,1016
63,168,3.4,93.53,1010
69,40,3.7,93.91,1010
34,313,2.4,77.42,1010
63,185,2.6,86.71,1010
50,142,7.2,94.64,1012
39,307,9.9,81.3,1022
52,214,7.3,67.9,1024
60,20,5.6,70.13,1020
63,197,5,78.97,1020
58,234,4.3,80.69,1020
37,281,5.2,79.59,1020
66,201,5.4,76.5,1020
50,250,4.9,76.34,1020
